domain,skill_uri,skill_label,capability_family,trend_score,trend_label,months_observed,total_monthly_mentions,gap_score,demand_count,supply_count,course_count,future_risk_score,risk_quadrant
IT,http://data.europa.eu/esco/skill/75b30aeb-34c0-40f4-b77d-271d75a98b14,improve business processes,developing operational policies and procedures,-0.219048,cooling,6,4,0.111111,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868,"promote ideas, products, services ",communicating,-0.253333,cooling,5,6,0.25,6,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/35f1dcdc-577f-46c6-96d9-6c7a64501de9,laboratory equipment,chemistry,-0.253333,cooling,5,6,0.220149,6,2,4,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0,coaching techniques,inter-disciplinary programmes and qualifications involving education,-0.253333,cooling,5,7,0.261816,7,2,0,0.0,current shortage
Tourism,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,collaborating and liaising,-0.253333,cooling,5,7,0.291667,7,0,2,0.0,current shortage
Tourism,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,adapt to change,demonstrating willingness to learn,-0.253333,cooling,5,7,0.291667,7,0,1,0.0,current shortage
Tourism,http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660,own management skills,management skills,-0.253333,cooling,5,6,0.25,6,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/29a50780-f81b-429c-b410-7f23a492e19d,sell products,selling products or services,-0.253333,cooling,5,6,0.25,6,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363,interact with users to gather requirements,engaging with others to identify needs,-0.253333,cooling,5,6,0.205224,6,3,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/fd89f784-88dc-4d35-abd7-86aa073cab12,keep an open mind,demonstrating willingness to learn,-0.253333,cooling,5,5,0.208333,5,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,accounting and taxation,-0.253333,cooling,5,5,0.193408,5,1,18,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/0cb013af-6dd9-4fb2-b34e-63dda1a5cf82,operate cash register,executing financial transactions,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d,identify customer's needs,engaging with others to identify needs,-0.253333,cooling,5,5,0.208333,5,0,1,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/f7f56b20-8f05-4731-a1bf-79fdcffc72ce,check deliveries on receipt,executing financial transactions,-0.253333,cooling,5,5,0.208333,5,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/0bfb44c7-c412-49ed-aab4-e33d0dd3b265,manage sales teams,supervising a team or group,-0.253333,cooling,5,5,0.208333,5,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,crowdsourcing strategy,"finance, banking and insurance",-0.253333,cooling,5,5,0.208333,5,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/6f1edc19-191f-4ba5-a048-ee69aff05bab,security engineering,engineering and engineering trades not elsewhere classified,-0.253333,cooling,5,5,0.208333,5,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/80e7418e-7434-456c-85e1-e8aef626a8c0,coordinate catering,directing operational activities,-0.253333,cooling,5,4,0.166667,4,0,10,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/ed1fbdc3-1071-423c-9bb4-e3288ca6d1fe,hardware components suppliers,wholesale and retail sales,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/4b3138e1-c09e-4c5c-a13c-8d533747a1c3,use X-ray machines,operating audio-visual equipment,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d,ensure compliance with company regulations,ensuring compliance with legislation,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/b478d218-21df-447f-9eba-6fb11f94b071,maintain telephony system,"maintaining electrical, electronic and precision equipment",-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/7d092d81-d1e2-4c34-b3cb-c1c9f2e68b7d,finish project within budget,"organising, planning and scheduling work and activities",-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/2945dc58-5b5c-4023-97ee-34ec05905b81,check in luggage,marking materials or objects for identification,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,think innovatively,thinking creatively and innovatively,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/be20d05c-f6b4-4580-9fcf-f00f4baab562,make data-driven decisions,analysing business operations,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/e8bd4f15-c928-463c-8454-5a7d99dd9926,direct customers to merchandise,selling products or services,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,-0.219048,cooling,6,9,0.25,9,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,accounting and taxation,-0.219048,cooling,6,9,0.25,9,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,innovation processes,management and administration,-0.219048,cooling,6,8,0.222222,8,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081,manage standard enterprise resource planning system,"managing, gathering and storing digital data",-0.219048,cooling,6,8,0.222222,8,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,-0.219048,cooling,6,8,0.222222,8,0,0,0.0,monitor
IT,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,-0.219048,cooling,6,8,0.222222,8,0,1,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/08e2ff26-88ff-47b5-9d37-d19ace01b075,manage feedback,following instructions and procedures,-0.253333,cooling,5,4,0.136816,4,2,1,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/c09c5786-a479-46de-b0aa-d5d2d8ccc123,manage customer service,directing operational activities,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/fef5a450-6230-4a34-b3e3-764252dbdcec,devise special promotions,"developing financial, business or marketing plans",-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/5a0bffcf-4ff6-49cf-a7db-4142e63f5f04,answer incoming calls,providing information to the public and clients,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284,communicate with stakeholders,collaborating and liaising,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Tourism,http://data.europa.eu/esco/skill/e13b734a-218c-434a-a7cc-febac6d24ef3,call-centre technologies,database and network design and administration,-0.253333,cooling,5,4,0.166667,4,0,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/f7e7ccb6-fadc-4c35-935d-e1040be40dfe,handle financial transactions,executing financial transactions,-0.022857,stable,6,6,0.25,6,0,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/08e2ff26-88ff-47b5-9d37-d19ace01b075,manage feedback,following instructions and procedures,-0.022857,stable,6,6,0.189394,6,2,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75,design customer experiences,"creating artistic, visual or instructive materials",-0.18254,cooling,6,7,0.291667,7,0,0,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java (computer programming),using digital tools for collaboration and productivity,-0.188952,cooling,6,6,0.189394,6,2,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0,coaching techniques,inter-disciplinary programmes and qualifications involving education,-0.022857,stable,6,6,0.25,6,0,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/fef5a450-6230-4a34-b3e3-764252dbdcec,devise special promotions,"developing financial, business or marketing plans",-0.022857,stable,6,6,0.25,6,0,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,solve technical problems,resolving computer problems,-0.095873,cooling,6,7,0.291667,7,0,0,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/ed1fbdc3-1071-423c-9bb4-e3288ca6d1fe,hardware components suppliers,wholesale and retail sales,-0.146032,cooling,6,4,0.166667,4,0,1,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,collaborating and liaising,-0.153651,cooling,6,12,0.5,12,0,4,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments,executing financial transactions,-0.166259,cooling,6,11,0.458333,11,0,0,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,-0.219048,cooling,6,7,0.291667,7,0,1,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/8c3ac8d1-5349-45bb-9006-e073ee3b5d16,packaging functions,sociology and cultural studies,-0.219048,cooling,6,7,0.291667,7,0,0,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/5c1e686c-92cc-4bd7-9f23-51f9d8a58886,customise guns,fabricating precision instruments or jewellery,-0.219048,cooling,6,7,0.291667,7,0,0,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/12c7b323-d870-4f5b-9d7d-d9f525206d77,production processes,"engineering, manufacturing and construction not elsewhere classified",-0.219048,cooling,6,7,0.291667,7,0,1,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352,achieve sales targets,selling products or services,-0.219048,cooling,6,6,0.25,6,0,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d,e-procurement,wholesale and retail sales,-0.219048,cooling,6,6,0.25,6,0,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/feceacee-d425-4e73-821a-02dfb85084db,control production,planning production processes,-0.219048,cooling,6,6,0.25,6,0,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/d83cba15-8511-4d07-b89a-9fde0d1d8241,perform quality audits,management skills,-0.219048,cooling,6,6,0.25,6,0,1,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/4cb51222-3e2e-417c-9a5c-e9ccf262721d,ensure compliance with company regulations,ensuring compliance with legislation,-0.219048,cooling,6,6,0.25,6,0,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/75b30aeb-34c0-40f4-b77d-271d75a98b14,improve business processes,developing operational policies and procedures,-0.219048,cooling,6,6,0.25,6,0,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3,digital curation,"library, information and archival studies",-0.219048,cooling,6,15,0.625,15,0,0,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,think analytically,"processing information, ideas and concepts",-0.219048,cooling,6,14,0.583333,14,0,0,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,-0.219048,cooling,6,11,0.458333,11,0,0,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363,interact with users to gather requirements,engaging with others to identify needs,-0.219048,cooling,6,9,0.375,9,0,0,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/2a0efd9a-4a60-4edc-8561-f2754d24eeb8,mathematical economics,economics,-0.219048,cooling,6,7,0.261364,7,1,0,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,-0.219048,cooling,6,7,0.291667,7,0,0,0.0,current shortage
Healthcare,http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660,own management skills,management skills,-0.219048,cooling,6,5,0.208333,5,0,1,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/0450eaee-1a00-4622-8f4e-5356fce816d2,hygiene in a health care setting,occupational health and safety,-0.219048,cooling,6,5,0.208333,5,0,3,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/db9050db-ae5d-4be8-8114-c26f272c3bda,manage health and safety,complying with health and safety procedures,-0.219048,cooling,6,5,0.208333,5,0,14,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/7b1ab171-caed-4561-89e4-b214396b1ae8,pharmaceutical technology,pharmacy,-0.219048,cooling,6,5,0.208333,5,0,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/0e21e183-e787-4f23-a240-93b416c088c2,maintain personal hygiene standards,management skills,-0.219048,cooling,6,5,0.17803,5,1,0,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/fc3cdc2c-7b79-4b5c-a4b0-f3b996fef849,attend meetings,collaborating and liaising,-0.219048,cooling,6,5,0.17803,5,1,1,0.0,monitor
Healthcare,http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68,perform project management,"directing, supervising and coordinating projects",-0.219048,cooling,6,5,0.208333,5,0,0,0.0,monitor
Green Energy,http://data.europa.eu/esco/skill/fef5a450-6230-4a34-b3e3-764252dbdcec,devise special promotions,"developing financial, business or marketing plans",-0.5,cooling,2,3,0.115385,3,0,0,0.0,monitor
Green Energy,http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0,coaching techniques,inter-disciplinary programmes and qualifications involving education,-0.666667,cooling,2,4,0.153846,4,0,1,0.0,monitor
Green Energy,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,collaborating and liaising,-0.833333,cooling,2,7,0.269231,7,0,1,0.0,current shortage
Green Energy,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,monitor developments in field of expertise,monitoring developments in area of expertise,-1.0,cooling,2,13,0.5,13,0,0,0.0,current shortage
Green Energy,http://data.europa.eu/esco/skill/694dc996-52f3-4afa-a802-672e19f061b7,crowdsourcing strategy,"finance, banking and insurance",-1.0,cooling,2,13,0.5,13,0,0,0.0,current shortage
Green Energy,http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3,digital curation,"library, information and archival studies",-1.0,cooling,2,11,0.423077,11,0,0,0.0,current shortage
Green Energy,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,-1.0,cooling,2,11,0.423077,11,0,0,0.0,current shortage
Green Energy,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,-1.0,cooling,2,9,0.346154,9,0,1,0.0,current shortage
Green Energy,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,-1.0,cooling,2,8,0.307692,8,0,0,0.0,current shortage
Green Energy,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,accounting and taxation,-1.0,cooling,2,8,0.307692,8,0,0,0.0,current shortage
Green Energy,http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d,e-procurement,wholesale and retail sales,-1.0,cooling,2,7,0.269231,7,0,0,0.0,current shortage
